year,energy_type,country_code,energy
1980,renewables,HKG,-0.000894827
1980,total,HUN,1.143027945
1980,coal,HUN,0.202642774
1980,natural_gas,HUN,0.35088
1980,petroleum,HUN,0.521554026
1980,all_renewable,HUN,0.067951145
1980,nuclear,HUN,0
1980,renewables,HUN,0.067951145
1980,total,ISL,0.056473091
1980,coal,ISL,0.000335826
1980,natural_gas,ISL,0
1980,petroleum,ISL,0.023483292
1980,all_renewable,ISL,0.032653973
1980,renewables,ISL,0.032653973
1980,total,IND,3.333467276
1980,coal,IND,1.404754971
1980,natural_gas,IND,0.058701
1980,petroleum,IND,1.352522029
1980,all_renewable,IND,0.517489276
1980,nuclear,IND,0.034158
1980,renewables,IND,0.483331276
1980,total,IDN,1.157283402
1980,coal,IDN,0.005218777
1980,natural_gas,IDN,0.2728
1980,petroleum,IDN,0.855131693
1980,all_renewable,IDN,0.024132931
1980,renewables,IDN,0.024132931
1980,total,IRN,1.602263239
1980,coal,IRN,0.049958695
1980,natural_gas,IRN,0.244992
1980,petroleum,IRN,1.249544875
1980,all_renewable,IRN,0.057767668
1980,nuclear,IRN,
1980,renewables,IRN,0.057767668
1980,total,IRQ,0.529373259
1980,coal,IRQ,0
1980,natural_gas,IRQ,0.064914
1980,petroleum,IRQ,0.457364255
1980,all_renewable,IRQ,0.007095004
1980,renewables,IRQ,0.007095004
1980,total,IRL,0.320810928
1980,coal,IRL,0.023414183
1980,natural_gas,IRL,0.03232
1980,petroleum,IRL,0.256200201
1980,all_renewable,IRL,0.008876544
1980,renewables,IRL,0.008876544
1980,total,ISR,0.355489502
1980,coal,ISR,0
1980,natural_gas,ISR,0.005195
1980,petroleum,ISR,0.350857482
1980,all_renewable,ISR,-0.00056298
1980,renewables,ISR,-0.00056298
1980,total,ITA,6.200180014
1980,coal,ITA,0.504633428
1980,natural_gas,ITA,0.994356
1980,petroleum,ITA,4.16736018
1980,all_renewable,ITA,0.533830406
1980,nuclear,ITA,0.025086908
1980,renewables,ITA,0.508743498
1980,total,JAM,0.116051162
1980,coal,JAM,0
1980,natural_gas,JAM,0
1980,petroleum,JAM,0.114264426
1980,all_renewable,JAM,0.001786736
1980,renewables,JAM,0.001786736
1980,total,JPN,15.81036807
1980,coal,JPN,2.396834308
1980,natural_gas,JPN,0.967113
1980,petroleum,JPN,10.7351072
1980,all_renewable,JPN,1.711313557
1980,nuclear,JPN,0.846673812
1980,renewables,JPN,0.864639745
1980,total,JOR,0.077824544
1980,coal,JOR,0
1980,natural_gas,JOR,0
1980,petroleum,JOR,0.077824544
1980,all_renewable,JOR,0
1980,renewables,JOR,0
1980,total,KAZ,
1980,coal,KAZ,
1980,natural_gas,KAZ,
1980,petroleum,KAZ,
1980,all_renewable,KAZ,
1980,nuclear,KAZ,
1980,renewables,KAZ,
1980,total,KEN,0.100273999
1980,coal,KEN,0.000323889
1980,natural_gas,KEN,0
1980,petroleum,KEN,0.08656865
1980,all_renewable,KEN,0.013381461
1980,renewables,KEN,0.013381461
1980,total,KIR,0.000424008
1980,coal,KIR,0
1980,natural_gas,KIR,0
1980,petroleum,KIR,0.000424008
1980,all_renewable,KIR,0
1980,renewables,KIR,0
1980,total,XKS,
1980,coal,XKS,
1980,natural_gas,XKS,
1980,petroleum,XKS,
1980,all_renewable,XKS,
1980,nuclear,XKS,
1980,renewables,XKS,
